experiment,condition,metric,original,corrected,delta
pilot,seed=42,random_baseline_accuracy,0.05,0.05,0.0
pilot,seed=42,nn_reidentification_accuracy,0.97,0.97,0.0
pilot,seed=42,mean_attractor_distance,0.2166,0.0917,-0.12489999999999998
pilot,seed=42,same_user_cosine_similarity,0.9774,0.9774,0.0
pilot,seed=42,different_user_cosine_similarity,0.0336,0.0336,0.0
scaled,seed=42,random_baseline_accuracy,0.002,0.002,0.0
scaled,seed=42,nn_reidentification_accuracy,1.0,1.0,0.0
scaled,seed=42,mean_attractor_distance,0.790061,0.760128,-0.029932999999999987
scaled,seed=42,same_user_cosine_similarity,0.355714,0.355714,0.0
scaled,seed=42,different_user_cosine_similarity,0.001999,0.001999,0.0
scaled,seed=123,random_baseline_accuracy,0.002,0.002,0.0
scaled,seed=123,nn_reidentification_accuracy,1.0,1.0,0.0
scaled,seed=123,mean_attractor_distance,0.789448,0.759865,-0.029583000000000026
scaled,seed=123,same_user_cosine_similarity,0.355491,0.355491,0.0
scaled,seed=123,different_user_cosine_similarity,0.005588,0.005588,0.0
scaled,seed=999,random_baseline_accuracy,0.002,0.002,0.0
scaled,seed=999,nn_reidentification_accuracy,1.0,1.0,0.0
scaled,seed=999,mean_attractor_distance,0.789861,0.760271,-0.029590000000000005
scaled,seed=999,same_user_cosine_similarity,0.356856,0.356856,0.0
scaled,seed=999,different_user_cosine_similarity,0.001499,0.001499,0.0
scaled,seed=2024,random_baseline_accuracy,0.002,0.002,0.0
scaled,seed=2024,nn_reidentification_accuracy,1.0,1.0,0.0
scaled,seed=2024,mean_attractor_distance,0.78949,0.759759,-0.029731000000000063
scaled,seed=2024,same_user_cosine_similarity,0.357742,0.357742,0.0
scaled,seed=2024,different_user_cosine_similarity,-0.001123,-0.001123,0.0
scaled,seed=7,random_baseline_accuracy,0.002,0.002,0.0
scaled,seed=7,nn_reidentification_accuracy,1.0,1.0,0.0
scaled,seed=7,mean_attractor_distance,0.788354,0.758774,-0.02958000000000005
scaled,seed=7,same_user_cosine_similarity,0.357822,0.357822,0.0
scaled,seed=7,different_user_cosine_similarity,0.002683,0.002683,0.0
scaled,seed=314,random_baseline_accuracy,0.002,0.002,0.0
scaled,seed=314,nn_reidentification_accuracy,1.0,1.0,0.0
scaled,seed=314,mean_attractor_distance,0.788322,0.75915,-0.029171999999999976
scaled,seed=314,same_user_cosine_similarity,0.356166,0.356166,0.0
scaled,seed=314,different_user_cosine_similarity,0.003471,0.003471,0.0
scaled,seed=1337,random_baseline_accuracy,0.002,0.002,0.0
scaled,seed=1337,nn_reidentification_accuracy,1.0,1.0,0.0
scaled,seed=1337,mean_attractor_distance,0.790729,0.760707,-0.030021999999999993
scaled,seed=1337,same_user_cosine_similarity,0.358866,0.358866,0.0
scaled,seed=1337,different_user_cosine_similarity,0.002677,0.002677,0.0
scaled,seed=77,random_baseline_accuracy,0.002,0.002,0.0
scaled,seed=77,nn_reidentification_accuracy,1.0,1.0,0.0
scaled,seed=77,mean_attractor_distance,0.790248,0.760671,-0.029576999999999964
scaled,seed=77,same_user_cosine_similarity,0.353835,0.353835,0.0
scaled,seed=77,different_user_cosine_similarity,0.002364,0.002364,0.0
scaled,seed=256,random_baseline_accuracy,0.002,0.002,0.0
scaled,seed=256,nn_reidentification_accuracy,1.0,1.0,0.0
scaled,seed=256,mean_attractor_distance,0.787822,0.758344,-0.029478000000000004
scaled,seed=256,same_user_cosine_similarity,0.36088,0.36088,0.0
scaled,seed=256,different_user_cosine_similarity,0.002211,0.002211,0.0
scaled,seed=88,random_baseline_accuracy,0.002,0.002,0.0
scaled,seed=88,nn_reidentification_accuracy,1.0,1.0,0.0
scaled,seed=88,mean_attractor_distance,0.788535,0.758849,-0.02968599999999999
scaled,seed=88,same_user_cosine_similarity,0.356578,0.356578,0.0
scaled,seed=88,different_user_cosine_similarity,0.000261,0.000261,0.0
