seed,random_baseline_accuracy,nn_reidentification_accuracy,mean_attractor_distance,same_user_cosine_similarity,different_user_cosine_similarity
42,0.002,1.0,0.760128,0.355714,0.001999
123,0.002,1.0,0.759865,0.355491,0.005588
999,0.002,1.0,0.760271,0.356856,0.001499
2024,0.002,1.0,0.759759,0.357742,-0.001123
7,0.002,1.0,0.758774,0.357822,0.002683
314,0.002,1.0,0.75915,0.356166,0.003471
1337,0.002,1.0,0.760707,0.358866,0.002677
77,0.002,1.0,0.760671,0.353835,0.002364
256,0.002,1.0,0.758344,0.36088,0.002211
88,0.002,1.0,0.758849,0.356578,0.000261
